Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Chefinho,The Forgotten Battle - Upper Bound Clip 4,LG 2018 LG M16PP UHD TV Smart TV,2022-09-15 17:42:52,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4102,""mediaOffsetMs"":0}]"
Chefinho,RRR_hook_02_16x9,LG 2018 LG M16PP UHD TV Smart TV,2022-09-15 17:42:49,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2158,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2571,""mediaOffsetMs"":250},{""eventType"":""stopped"",""sessionOffsetMs"":4008,""mediaOffsetMs"":305}]"
Chefinho,Cliffhanger Clip: Stranger Things 4 Volume 2,LG 2018 LG M16PP UHD TV Smart TV,2022-09-15 17:42:47,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1805,""mediaOffsetMs"":0}]"
Chefinho,PJ Masks: Season 1_hook_primary_16x9,LG 2018 LG M16PP UHD TV Smart TV,2022-09-15 17:42:45,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2214,""mediaOffsetMs"":0}]"
Chefinho,TheCrown_S4_NoMarketingCard,LG 2018 LG M16PP UHD TV Smart TV,2022-09-15 17:42:42,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":3203,""mediaOffsetMs"":20}]"
Chefinho,The Forgotten Battle,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2022-09-15 16:31:14,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":774,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":349029,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":365702,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2031461,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2036523,""mediaOffsetMs"":2008000}]"
Chefinho,Annihilation_hook_primary_16x9,Apple iPhone 11,2022-09-13 09:42:33,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":979,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":64379,""mediaOffsetMs"":22000}]"
Chefinho,Season 1 Trailer: Snowpiercer,Apple iPhone 11,2022-09-11 23:40:12,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2573,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2573,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":31595,""mediaOffsetMs"":15000}]"
Chefinho,The Mummy_hook_primary_16x9,Apple iPhone 11,2022-09-11 23:37:39,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2254,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":14899,""mediaOffsetMs"":12000}]"
Chefinho,The Illusionist_hook_primary_16x9,Apple iPhone 11,2022-09-11 23:36:21,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1401,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1401,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":26949,""mediaOffsetMs"":25000}]"
Chefinho,The Mist (Trailer),Apple iPhone 11,2022-09-11 23:33:17,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1360,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1360,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":43141,""mediaOffsetMs"":41000}]"
Chefinho,Sad Hill Unearthed_hook_primary_16x9,Apple iPhone 11,2022-09-10 10:55:56,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1725,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1725,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":16795,""mediaOffsetMs"":15000}]"
Chefinho,13TH (Trailer),Apple iPhone 11,2022-09-10 10:55:13,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2135,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2135,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":35062,""mediaOffsetMs"":14000}]"
Chefinho,Moment of High Emotion Clip: Trust No One: The Hunt for the Crypto King,Apple iPhone 11,2022-09-10 10:54:32,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1305,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":8643,""mediaOffsetMs"":7000}]"
Chefinho,Season 1 High Context Clip 2: Chad and JT Go Deep,FireTV 4K Stick 2018,2022-09-03 23:04:26,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":10325,""mediaOffsetMs"":0}]"
Chefinho,Oscar's Oasis_hook_primary_16x9,FireTV 4K Stick 2018,2022-09-03 14:05:50,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":84},{""eventType"":""stopped"",""sessionOffsetMs"":1506,""mediaOffsetMs"":84}]"
