Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Chefinho,Our Father,thumb,,0,HTML 5,2022-08-28 22:10:27,
Chefinho,The Gray Man,thumb,,2,Smart TV,2022-08-19 21:13:09,
Chefinho,Operation Mincemeat,thumb,,2,Smart TV,2022-06-03 20:27:45,
Chefinho,The Good Place,thumb,,3,Smart TV,2022-05-20 21:03:25,
Chefinho,Sleepers,thumb,,3,Smart TV,2022-05-15 19:38:08,
Chefinho,Premonition,thumb,,2,Smart TV,2022-01-04 18:59:29,
Chefinho,The Unforgivable,thumb,,2,Smart TV,2022-01-01 22:06:52,
Chefinho,Don't Look Up,thumb,,2,Smart TV,2022-01-01 19:26:08,
Chefinho,Oscar's Oasis,thumb,,2,Smart TV,2021-09-11 14:56:43,
Chefinho,The Duel,star,5,2,Smart TV,2021-05-23 22:22:43,2021-05-23
Chefinho,Seaspiracy,thumb,,2,Smart TV,2021-05-22 17:34:53,
Chefinho,The Innocents,thumb,,2,iPhone,2021-04-11 23:20:37,
Chefinho,Get the Goat,thumb,,2,Smart TV,2021-04-01 21:23:26,
Chefinho,The Chamber,thumb,,2,iPad,2021-03-27 18:33:44,
Chefinho,Mission: Impossible - Fallout,thumb,,2,Smart TV,2021-02-28 18:35:14,
Chefinho,News of the World,thumb,,2,Smart TV,2021-02-14 20:04:19,
Chefinho,The Bounty Hunter,thumb,,2,Smart TV,2021-02-07 17:53:05,
Chefinho,The White Tiger,thumb,,2,Smart TV,2021-02-06 17:26:42,
Chefinho,The Dig,thumb,,2,Smart TV,2021-02-05 21:07:30,
Chefinho,The General's Daughter,thumb,,2,Smart TV,2021-01-01 18:52:40,
Chefinho,True Grit,thumb,,2,Smart TV,2021-01-01 15:47:02,
Chefinho,Solomon Kane,thumb,,2,Smart TV,2020-11-15 18:01:42,
Chefinho,Rebecca,star,4,2,Apple TV,2020-10-27 22:00:31,2020-10-27
Chefinho,Darkest Hour,thumb,,2,Smart TV,2020-10-18 23:00:25,
Chefinho,Run All Night,thumb,,2,Smart TV,2020-10-04 21:14:19,
Chefinho,Courageous,thumb,,2,Smart TV,2020-10-04 18:34:48,
Chefinho,The Paramedic,thumb,,2,Smart TV,2020-09-27 20:18:40,
Chefinho,American Sniper,thumb,,2,Smart TV,2020-08-30 19:45:50,
Chefinho,The Italian Job,thumb,,2,Smart TV,2020-05-24 00:14:13,
Chefinho,The Tuxedo,thumb,,2,Smart TV,2020-05-04 23:14:30,
Chefinho,Dangerous Lies,thumb,,2,Smart TV,2020-05-01 01:05:39,
Chefinho,The Crown,star,4,2,Smart TV,2020-04-28 23:47:33,2020-04-28
Chefinho,American Made,thumb,,2,Smart TV,2020-04-27 23:59:45,
Chefinho,The Plagues of Breslau,thumb,,2,Smart TV,2020-04-27 00:00:09,
Chefinho,The Silence of the Marsh,thumb,,2,Smart TV,2020-04-25 23:33:29,
Chefinho,Extraction,thumb,,2,Smart TV,2020-04-24 23:48:57,
Chefinho,Miracle in Cell No. 7,thumb,,2,Smart TV,2020-04-23 18:03:53,
Chefinho,Earth and Blood,thumb,,2,Smart TV,2020-04-20 00:29:04,
Chefinho,Eagle Eye,thumb,,2,Smart TV,2020-04-14 01:37:05,
Chefinho,Atomic Blonde,thumb,,2,Smart TV,2020-04-13 00:20:35,
Chefinho,Flight,thumb,,2,Smart TV,2020-04-11 01:02:52,
Chefinho,Road Trip,thumb,,2,Smart TV,2020-04-08 23:58:59,
Chefinho,The Manchurian Candidate,thumb,,2,Smart TV,2020-04-08 00:01:53,
Chefinho,Eurotrip,thumb,,2,Smart TV,2020-04-06 19:19:32,
Chefinho,The Sweetest Thing,thumb,,2,Smart TV,2020-04-05 23:48:34,
Chefinho,Broken City,thumb,,2,Smart TV,2020-03-31 23:21:54,
Chefinho,Lost Girls,thumb,,2,Android Phone,2020-03-29 18:11:25,
Chefinho,17 Again,thumb,,2,Smart TV,2020-03-27 00:39:23,
Chefinho,Unfinished Business,thumb,,2,Smart TV,2020-03-26 01:47:52,
Chefinho,Tall Girl,thumb,,2,Smart TV,2020-03-23 23:10:07,
Chefinho,When Angels Sleep,thumb,,2,Smart TV,2020-03-22 18:07:51,
Chefinho,Bad Day for the Cut,thumb,,2,Smart TV,2020-03-19 01:25:18,
Chefinho,Lavender,thumb,,2,Smart TV,2020-03-16 00:39:38,
Chefinho,The Outsider,thumb,,2,Smart TV,2020-03-09 23:56:46,
Chefinho,The Fugitive,star,5,2,Apple TV,2020-02-23 00:47:04,2020-02-22
Chefinho,U.S. Marshals,thumb,,2,Smart TV,2020-02-16 20:34:31,
Chefinho,6 Days,thumb,,2,Smart TV,2020-02-02 17:57:20,
Chefinho,Eye for an Eye,thumb,,2,Smart TV,2020-01-30 23:50:24,
Chefinho,A Fall from Grace,thumb,,2,Smart TV,2020-01-27 23:46:45,
Chefinho,Eye For An Eye,thumb,,2,Smart TV,2020-01-17 00:40:07,
Chefinho,Lost in Space,thumb,,2,Smart TV,2020-01-04 22:28:35,
Chefinho,The Mummy,thumb,,2,Smart TV,2020-01-03 00:20:24,
Chefinho,Message from the King,thumb,,2,Smart TV,2020-01-02 00:50:32,
Chefinho,Miss Meadows,thumb,,2,Smart TV,2019-12-25 23:50:34,
Chefinho,Fractured,thumb,,2,Smart TV,2019-12-20 23:11:29,
Chefinho,Get Out,thumb,,2,Smart TV,2019-12-19 23:13:37,
Chefinho,6 Underground,thumb,,2,Smart TV,2019-12-18 23:33:25,
Chefinho,The Irishman,thumb,,2,Smart TV,2019-11-30 20:13:33,
Chefinho,Bullet Head,thumb,,2,Smart TV,2019-11-17 23:10:28,
Chefinho,Hannibal,thumb,,2,Smart TV,2019-11-16 18:44:53,
