Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Chefinho,BR,iPhone,0,adastra,Annihilation,select,title_results,2022-09-13 09:42:33
Chefinho,BR,iPhone,0,snow piercer,,select,title_results,2022-09-11 23:40:11
Chefinho,BR,iPhone,0,the gam,The Mummy,select,title_results,2022-09-11 23:37:39
Chefinho,BR,iPhone,0,illusio,The Illusionist,add,title_results,2022-09-11 23:36:42
Chefinho,BR,iPhone,0,illusio,The Illusionist,select,title_results,2022-09-11 23:36:21
Chefinho,BR,iPhone,0,mist,,select,title_results,2022-09-11 23:33:16
Chefinho,BR,iPhone,0,sad,Sad Hill Unearthed,add,title_results,2022-09-10 10:56:10
Chefinho,BR,iPhone,0,sad,Sad Hill Unearthed,select,title_results,2022-09-10 10:55:54
Chefinho,BR,iPhone,0,13th,13TH,select,title_results,2022-09-10 10:55:11
Chefinho,BR,iPhone,0,trust,Trust No One: The Hunt for the Crypto King,select,title_results,2022-09-10 10:54:31
Chefinho,BR,HTML 5,0,blue story,Blue Story,add,title_results,2022-08-30 13:50:08
Chefinho,BR,HTML 5,0,blue story,Blue Story,add,title_results,2022-08-30 13:50:08
Chefinho,BR,HTML 5,0,rrr,RRR (Hindi),add,title_results,2022-08-30 13:48:01
Chefinho,BR,HTML 5,0,rrr,RRR (Hindi),add,title_results,2022-08-30 13:48:01
Chefinho,BR,HTML 5,0,major,Major (Hindi),add,title_results,2022-08-30 13:34:55
Chefinho,BR,HTML 5,0,major,Major (Hindi),add,title_results,2022-08-30 13:34:55
Chefinho,BR,HTML 5,0,forgotten,Forgotten,add,title_results,2022-08-30 12:44:56
Chefinho,BR,HTML 5,0,forgotten,Forgotten,add,title_results,2022-08-30 12:44:56
Chefinho,BR,iPhone,0,mosul,Mosul,select,title_results,2022-08-29 15:28:23
Chefinho,BR,iPhone,0,nas muralhas da fort,Priest,select,title_results,2022-08-29 15:23:07
Chefinho,BR,iPhone,0,nas muralhas da fort,The Great Wall,add,title_results,2022-08-29 15:22:53
Chefinho,BR,iPhone,0,nas muralhas da fort,The Great Wall,select,title_results,2022-08-29 15:21:35
Chefinho,BR,HTML 5,0,baby driver,Baby Driver,add,title_results,2022-08-29 11:35:37
Chefinho,BR,HTML 5,0,downfall,Downfall: The Case Against Boeing,add,title_results,2022-08-28 22:11:17
Chefinho,BR,HTML 5,0,downfall,Downfall: The Case Against Boeing,add,title_results,2022-08-28 22:11:17
Chefinho,BR,HTML 5,0,our father,Our Father,add,title_results,2022-08-28 22:10:30
Chefinho,BR,HTML 5,0,our father,Our Father,add,title_results,2022-08-28 22:10:30
Chefinho,BR,HTML 5,0,return to space,Return to Space,add,title_results,2022-08-28 22:09:14
Chefinho,BR,HTML 5,0,trust no one,Trust No One: The Hunt for the Crypto King,add,title_results,2022-08-28 22:07:47
Chefinho,BR,iPhone,0,untol,,add,,2022-08-20 08:24:45
Chefinho,BR,iPhone,0,untol,,select,,2022-08-20 08:24:35
Chefinho,BR,iPhone,0,untol,Untold: Deal With the Devil,add,,2022-08-20 08:24:29
