Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Lourenço,LGTV20186=61008818587,LG 2018 Mstar LM18A STD UHD TV Smart TV,2020-09-16T21:22:49.838Z,2022-09-15T20:13:25.174Z,2020-09-16T21:23:05.227Z,2022-09-15T19:48:08.451Z,2020-09-16T21:22:49.838Z,2022-09-15T20:13:25.174Z,2020-09-16T21:23:05.227Z,2022-09-15T19:48:08.451Z,
Chefinho,NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,Chrome PC (Cadmium),2021-12-15T20:49:57.640Z,2022-09-15T19:42:40.705Z,2021-12-15T20:54:17.924Z,2022-09-15T19:42:39.648Z,2021-12-15T20:49:57.640Z,2022-09-15T19:42:40.705Z,2021-12-15T20:54:17.924Z,2022-09-15T19:42:39.648Z,
Lourenço,NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,Chrome PC (Cadmium),2021-12-15T20:49:57.640Z,2022-09-15T19:42:40.705Z,2021-12-15T20:54:17.924Z,2022-09-15T19:42:39.648Z,,,,,
Juliana,NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,Chrome PC (Cadmium),2021-12-15T20:49:57.640Z,2022-09-15T19:42:40.705Z,2021-12-15T20:54:17.924Z,2022-09-15T19:42:39.648Z,,,,,
Deanna,NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,Chrome PC (Cadmium),2021-12-15T20:49:57.640Z,2022-09-15T19:42:40.705Z,2021-12-15T20:54:17.924Z,2022-09-15T19:42:39.648Z,,,,,
CECI,NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,Chrome PC (Cadmium),2021-12-15T20:49:57.640Z,2022-09-15T19:42:40.705Z,2021-12-15T20:54:17.924Z,2022-09-15T19:42:39.648Z,,,,,
Chefinho,LGTV20182=21001272364,LG 2018 LG M16PP UHD TV Smart TV,2019-04-27T19:58:13.918Z,2022-09-15T17:42:56.008Z,2019-07-30T12:48:57.479Z,2022-09-15T17:42:56.008Z,2019-08-18T22:53:50.116Z,2022-09-15T17:42:56.008Z,2020-10-04T16:30:16.863Z,2022-09-15T17:42:56.008Z,
Chefinho,NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,2022-06-26T06:36:01.748Z,2022-09-15T16:31:14.644Z,
Lourenço,NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,iPad Pro 10.5-Inch (Wi-Fi),2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,2020-09-15T22:58:40.425Z,2022-09-14T14:22:43.916Z,
Chefinho,NFAPPL-02-IPHONE12=1-A47881A0B84D11FE0E4D38A4F9AC87961112702B7964D7ECF3AAB0E4D2AE2CA8,Apple iPhone 11,2021-05-18T21:35:39.588Z,2022-09-13T09:42:33.820Z,2021-05-18T21:35:39.588Z,2022-01-13T16:57:11.600Z,2021-05-18T21:35:39.588Z,2022-09-13T09:42:33.820Z,2021-05-18T21:35:39.588Z,2022-01-13T16:57:11.600Z,
