Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
LGTV20186=61008818587,NL,LG 2018 Mstar LM18A STD UHD TV Smart TV,LG 2018 Mstar LM18A STD UHD TV Smart TV,86.82.147.246,North Holland,2022-09-15T19:47:21.133Z
NFCDCH-02-HVMN7C2JQEJHAQ8CQ3DJ38875GEQXG,BR,Chrome PC (Cadmium),Chrome PC (Cadmium),2804:248:faee:f700:84f:ac24:9c4c:907d,Ceará,2022-09-15T18:17:11.422Z
LGTV20182=21001272364,BR,LG 2018 LG M16PP UHD TV Smart TV,LG 2018 LG M16PP UHD TV Smart TV,177.190.211.131,Ceará,2022-09-15T17:42:42.989Z
NFAPPL-01-IPAD13=4-BBDD8FB033A865BF3AC0CC10192B033775B7316B3915E3DBC5FD5CC0F35317A3,BR,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,177.190.211.131,Ceará,2022-09-15T16:31:14.645Z
NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,NL,iPad Pro 10.5-Inch (Wi-Fi),iPad Pro 10.5-Inch (Wi-Fi),2a02:a45b:17b6:1:5af:2ca:1808:88ef,North Holland,2022-09-14T14:10:19.733Z
NFAPPL-02-IPHONE12=1-A47881A0B84D11FE0E4D38A4F9AC87961112702B7964D7ECF3AAB0E4D2AE2CA8,BR,Apple iPhone 11,Apple iPhone 11,2804:248:fa78:100:75bc:a346:5125:9b92,Ceará,2022-09-13T09:42:33.821Z
NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,NL,iPad Pro 10.5-Inch (Wi-Fi),iPad Pro 10.5-Inch (Wi-Fi),2a02:a45b:17b6:1:5af:2ca:1808:88ef,North Holland,2022-09-13T09:13:30.617Z
NFAPPL-02-IPHONE12=1-A47881A0B84D11FE0E4D38A4F9AC87961112702B7964D7ECF3AAB0E4D2AE2CA8,BR,Apple iPhone 11,Apple iPhone 11,2804:248:fa78:100:342d:f3dc:506e:b40a,Ceará,2022-09-11T23:33:17.127Z
NFAPPL-02-IPHONE12=1-A47881A0B84D11FE0E4D38A4F9AC87961112702B7964D7ECF3AAB0E4D2AE2CA8,BR,Apple iPhone 11,Apple iPhone 11,45.179.224.243,Ceará,2022-09-10T10:54:32.733Z
NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,NL,iPad Pro 10.5-Inch (Wi-Fi),iPad Pro 10.5-Inch (Wi-Fi),2a02:a45b:17b6:1:cc86:cbb8:7b14:365d,North Holland,2022-09-08T12:14:32.061Z
NFAPPL-01-IPAD7=3-A1F888AE04F90D1E621FA8EDF7C332F9A43D800A060FA4D1A41DEE77B3561191,NL,iPad Pro 10.5-Inch (Wi-Fi),iPad Pro 10.5-Inch (Wi-Fi),2a02:a45b:17b6:1:42d:2bbc:cb5b:c66f,North Holland,2022-09-06T15:46:04.587Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-C1E6D6D129E7044EA2F2CCAF99DF3111E995E54673BCC63B49200AF8D6ECE4F8,BR,FireTV 4K Stick 2018,FireTV 4K Stick 2018,45.179.224.52,Ceará,2022-09-04T17:57:52.167Z
