Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-08-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-08-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-08-15,2022-08-15,2022-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-09-15
2022-08-15,2022-08-15,2022-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-09-15
2022-07-15,2022-07-15,2022-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-08-15
2022-07-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-07-15,2022-07-15,2022-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-08-15
2022-07-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-06-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-06-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-06-15,2022-06-15,2022-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-07-15
2022-06-15,2022-06-15,2022-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-07-15
2022-05-15,2022-05-15,2022-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-06-15
2022-05-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-05-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-05-15,2022-05-15,2022-06-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.42,39.9,SALE,APPROVED,SETTLED,BR,2022-06-15
2022-04-15,2022-04-15,2022-05-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-05-15
2022-04-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-04-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-04-15,2022-04-15,2022-05-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-05-15
2022-03-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-03-15,2022-03-15,2022-04-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-04-15
2022-03-15,2022-03-15,2022-04-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-04-15
2022-03-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-02-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2022-02-15,2022-02-15,2022-03-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-03-15
2022-02-15,2022-02-15,2022-03-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-03-15
2022-02-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-01-15,2022-01-15,2022-02-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-02-15
2022-01-15,2022-01-15,2022-02-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-02-15
2022-01-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-01-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-12-15,2021-12-15,2022-01-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-01-15
2021-12-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-12-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-12-15,2021-12-15,2022-01-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-01-15
2021-11-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-11-15,2021-11-15,2021-12-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-12-15
2021-11-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-11-15,2021-11-15,2021-12-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-12-15
2021-10-15,2021-10-15,2021-11-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-11-15
2021-10-15,2021-10-15,2021-11-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-11-15
2021-10-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-10-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,NEW,,BR,
2021-09-15,2021-09-15,2021-10-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-10-15
2021-09-15,2021-09-15,2021-10-14,SUBSCRIPTION,VISA,6709,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-10-15
2021-09-15,,,payment_transaction,CC,6709,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-08-15,2021-08-15,2021-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-09-15
2021-08-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-08-15,2021-08-15,2021-09-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-09-15
2021-08-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-07-15,2021-07-15,2021-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-08-15
2021-07-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,APPROVED,,BR,
2021-07-15,2021-07-15,2021-08-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,NEW,SETTLED,BR,2021-08-15
2021-07-15,,,payment_transaction,CC,6709,,,,BRL,,45.9,SALE,NEW,,BR,
2021-06-15,2021-06-15,2021-07-14,SUBSCRIPTION,VISA,6709,,ADYEN,45.9,BRL,5.16,45.9,SALE,APPROVED,SETTLED,BR,2021-07-15
